ID_HARGA;KODE_JASA;CAKUPAN;VIA;TIPE;HARGA INDAH ONLINE;HARGA PKS;ASAL;TUJUAN;WILAYAH;UPDATE;JENIS;VARIAN;LEAD_TIME;KODE_NEGARA;SIMBOL;NILAI_TUKAR;DISKON;
1;1;;DARAT;BL;4848;2500;KUDUS;BANYUMAS;;;BERAT;>10;2-3;ID;Rp;1;48,432343234323%;
1;1;;DARAT;BL;4444;2000;KUDUS;BANYUPUTIH;;;BERAT;>10;3-4;ID;Rp;1;54,995499549955%;
1;1;;DARAT;BL;3232;2000;KUDUS;BANYUWANGI;;;BERAT;>10;3-4;ID;Rp;1;38,118811881188%;
1;1;;LAUT;BL;10908;8000;KUDUS;BARABAI;;;BERAT;>10;7-8;ID;Rp;1;26,659332599927%;
1;1;;LAUT;BL;10908;7000;KUDUS;BARRU;;;BERAT;>10;9-11;ID;Rp;1;35,826916024936%;
1;1;;DARAT;BL;10504;8000;KUDUS;BASO;;;BERAT;>10;6-7;ID;Rp;1;23,838537699924%;
1;1;;LAUT;BL;8888;8888;KUDUS;BATAM;"Kec. Batu Aji, kec. Batam kota, Kepulauan riau; kec. Sagulung; kec sagulung; kec. Sei beduk;";05/12/2022;BERAT;>10;17-18;ID;Rp;1;0,000000000000%;
1;1;;DARAT;BL;4040;2000;KUDUS;BATANG;;;BERAT;>10;2-3;ID;Rp;1;50,495049504951%;
1;1;;DARAT;BL;14948;8500;KUDUS;BATANG TORU;;;BERAT;>10;4-5;ID;Rp;1;43,136205512443%;
1;1;;DARAT;BL;4040;2000;KUDUS;BATU;;;BERAT;>10;3-4;ID;Rp;1;50,495049504951%;
1;1;;LAUT;BL;13332;9000;KUDUS;BATU LICIN;Kec. Kusan hilir Kab. Tanah Bumbu;08/02/2022;BERAT;>10;7-8;ID;Rp;1;32,493249324933%;
1;1;;DARAT;BL;7676;5500;KUDUS;BATU RAJA;;;BERAT;>10;4-5;ID;Rp;1;28,348097967692%;
1;1;;DARAT;BL;9292;7500;KUDUS;BATU SANGKAR;;;BERAT;>10;6-7;ID;Rp;1;19,285406801550%;
1;1;;DARAT;BL;11312;8500;KUDUS;BATUBARA;;;BERAT;>10;4-5;ID;Rp;1;24,858557284300%;
1;1;;DARAT;BL;4444;2500;KUDUS;BATURADEN;;;BERAT;>10;2-3;ID;Rp;1;43,744374437444%;
1;1;;LAUT;BL;13332;8500;KUDUS;BAU BAU;"kec. Murhum, kota bau-bau; Kec. Bukit Wolio";04/01/2023;BERAT;>10;12-14;ID;Rp;1;36,243624362436%;
1;1;;DARAT;BL;2828;1500;KUDUS;BAWEN;;;BERAT;>10;2-3;ID;Rp;1;46,958981612447%;
1;1;;DARAT;BL;10908;6000;KUDUS;BAYUNG LINCIR;;;BERAT;>10;4-5;ID;Rp;1;44,994499449945%;
1;1;;DARAT;BL;5333;2500;KUDUS;BEKASI;;;BERAT;>10;4-5;ID;Rp;1;53,122070129383%;
1;1;;DARAT;BL;8080;6500;KUDUS;BELILAS;;;BERAT;>10;3-4;ID;Rp;1;19,554455445545%;
1;1;;LAUT;BL;19796;18000;KUDUS;BELINYU;;;BERAT;>10;17-18;ID;Rp;1;9,072539907052%;
1;1;;DARAT;BL;11716;8000;KUDUS;BELITANG;;;BERAT;>10;4-5;ID;Rp;1;31,717309662001%;
1;1;;LAUT;BL;16564;14000;KUDUS;BELITUNG;Kec.Tanjung Pendan;25/7/2022;BERAT;>10;17-18;ID;Rp;1;15,479352813330%;
1;1;;DARAT;BL;10080;7000;KUDUS;BENGKALIS;;;BERAT;>10;3-4;ID;Rp;1;30,555555555556%;
1;1;;LAUT;BL;17372;13000;KUDUS;BENGKAYANG;;;BERAT;>10;7-8;ID;Rp;1;25,166935298181%;
